obj_id,species,speciesMatched,uuid,ifungorum_number,trait_name,value
Treseder_etal_2016_1594,Meliniomyces_vraolstadiae,Meliniomyces vraolstadiae,fd914b72-21f9-4b11-9a18-711c25005137,500247,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1595,Meliniomyces_vraolstadiae,Meliniomyces vraolstadiae,fd914b72-21f9-4b11-9a18-711c25005137,500247,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1597,Metarhizium_pinghaense,Metarhizium anisopliae,b00ed26e-9c46-4578-bcbf-6af601d20abd,101834,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1600,Microdochium_bolleyi,Microdochium bolleyi,1cb1938c-36b9-11d5-9548-00d0592d548c,317661,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1602,Mollisia_cinerea_f._minutella,Mollisia cinerea,e0665582-1ef5-405d-bdb9-1140a2309bf9,151567,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1603,Mollisia_cinerea_f._minutella,Mollisia cinerea,e0665582-1ef5-405d-bdb9-1140a2309bf9,151567,Cohens_d_Cellulose,0.402035848020833
Treseder_etal_2016_1604,Mollisia_cinerea_f._minutella,Mollisia cinerea,e0665582-1ef5-405d-bdb9-1140a2309bf9,151567,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1606,Mollisia_cinerea_f._minutella,Mollisia cinerea,e0665582-1ef5-405d-bdb9-1140a2309bf9,151567,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1607,Mollisia_cinerea_f._minutella,Mollisia cinerea,e0665582-1ef5-405d-bdb9-1140a2309bf9,151567,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1608,Mollisia_cinerea_f._minutella,Mollisia cinerea,e0665582-1ef5-405d-bdb9-1140a2309bf9,151567,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1610,Mollisia_cinerea_f._minutella,Mollisia cinerea,e0665582-1ef5-405d-bdb9-1140a2309bf9,151567,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1611,Mollisia_cinerea_f._minutella,Mollisia cinerea,e0665582-1ef5-405d-bdb9-1140a2309bf9,151567,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1614,Mollisia_incrustata,Hyphodiscus incrustatus,c984145f-f6a6-4ebf-8a5c-37c02bd64070,366307,Cohens_d_Cellulose,0
Treseder_etal_2016_1615,Mollisia_incrustata,Hyphodiscus incrustatus,c984145f-f6a6-4ebf-8a5c-37c02bd64070,366307,Cohens_d_Cellulose,0
Treseder_etal_2016_1616,Mollisia_incrustata,Hyphodiscus incrustatus,c984145f-f6a6-4ebf-8a5c-37c02bd64070,366307,Cohens_d_Cellulose,-1.46059348668044
Treseder_etal_2016_1617,Mollisia_incrustata,Hyphodiscus incrustatus,c984145f-f6a6-4ebf-8a5c-37c02bd64070,366307,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1618,Mollisia_incrustata,Hyphodiscus incrustatus,c984145f-f6a6-4ebf-8a5c-37c02bd64070,366307,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1619,Mollisia_incrustata,Hyphodiscus incrustatus,c984145f-f6a6-4ebf-8a5c-37c02bd64070,366307,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1620,Mollisia_incrustata,Hyphodiscus incrustatus,c984145f-f6a6-4ebf-8a5c-37c02bd64070,366307,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1621,Mollisia_incrustata,Hyphodiscus incrustatus,c984145f-f6a6-4ebf-8a5c-37c02bd64070,366307,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1622,Mollisia_incrustata,Hyphodiscus incrustatus,c984145f-f6a6-4ebf-8a5c-37c02bd64070,366307,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1623,Mollisia_incrustata,Hyphodiscus incrustatus,c984145f-f6a6-4ebf-8a5c-37c02bd64070,366307,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1624,Mollisia_incrustata,Hyphodiscus incrustatus,c984145f-f6a6-4ebf-8a5c-37c02bd64070,366307,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1625,Mollisia_incrustata,Hyphodiscus incrustatus,c984145f-f6a6-4ebf-8a5c-37c02bd64070,366307,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1626,Mollisia_incrustata,Hyphodiscus incrustatus,c984145f-f6a6-4ebf-8a5c-37c02bd64070,366307,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1627,Mollisia_incrustata,Hyphodiscus incrustatus,c984145f-f6a6-4ebf-8a5c-37c02bd64070,366307,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1628,Mollisia_sp_olrim132,Mollisia sp olrim132,NA,NA,Cohens_d_Cellulose,0
Treseder_etal_2016_1633,Monilinia_baccarum,Monilinia baccarum,d296d029-c0ef-4ab1-9abd-7b577cac2b9a,301266,Cohens_d_Cellulose,1.46059348668044
Treseder_etal_2016_1638,Mortierella_alpina,Mortierella alpina,1cb1d2ae-36b9-11d5-9548-00d0592d548c,170280,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1650,Mortierella_horticola,Mortierella horticola,1cb1d2b2-36b9-11d5-9548-00d0592d548c,301329,Cohens_d_Cellulose,-0.402035848020833
Treseder_etal_2016_1651,Mortierella_horticola,Mortierella horticola,1cb1d2b2-36b9-11d5-9548-00d0592d548c,301329,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1652,Mortierella_humilis,Mortierella humilis,23ad06a3-4949-4c31-853f-cadcb465b13d,317898,Cohens_d_Cellulose,1.46059348668044
Treseder_etal_2016_1653,Mortierella_humilis,Mortierella humilis,23ad06a3-4949-4c31-853f-cadcb465b13d,317898,Cohens_d_Cellulose,-1.46059348668044
Treseder_etal_2016_1654,Mortierella_humilis,Mortierella humilis,23ad06a3-4949-4c31-853f-cadcb465b13d,317898,Cohens_d_Cellulose,0
Treseder_etal_2016_1656,Mortierella_humilis,Mortierella humilis,23ad06a3-4949-4c31-853f-cadcb465b13d,317898,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1657,Mortierella_parvispora,Mortierella parvispora,1cb1d2b7-36b9-11d5-9548-00d0592d548c,301334,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1660,OTUkt4975,OTUkt4975 sp.,NA,NA,Cohens_d_Cellulose,0
Treseder_etal_2016_1666,OTUkt4981,OTUkt4981 sp.,NA,NA,Cohens_d_Cellulose,0
Treseder_etal_2016_1668,OTUkt4983,OTUkt4983 sp.,NA,NA,Cohens_d_Cellulose,-1.46059348668044
Treseder_etal_2016_1669,OTUkt4984,Lecanora anopta,NA,NA,Cohens_d_Cellulose,-1.46059348668044
Treseder_etal_2016_1670,OTUkt4985,Lecidea rubrocastanea,NA,NA,Cohens_d_Cellulose,-0.402035848020833
Treseder_etal_2016_1671,OTUkt4986,OTUkt4986 sp.,NA,NA,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1673,OTUkt4988,OTUkt4988 sp.,NA,NA,Cohens_d_Cellulose,0
Treseder_etal_2016_1675,OTUkt4990,OTUkt4990 sp.,NA,NA,Cohens_d_Cellulose,1.46059348668044
Treseder_etal_2016_1677,OTUkt4992,OTUkt4992 sp.,NA,NA,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1683,Mortierella_sp_NJP14,Mortierella sp NJP14,NA,NA,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1684,Mortierella_sp_UFMGCB_3750,Mortierella sp UFMGCB 3750,NA,NA,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1685,Mortierella_sp_W161,Mortierella sp W161,NA,NA,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1688,OTUkt5004,OTUkt5004 sp.,NA,NA,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1690,Mrakia_robertii,Mrakia robertii,d68dec56-58fb-4670-91cd-358e7b0bb4b8,514690,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1695,Mycena_galericulata,Mycena galericulata,1cb19447-36b9-11d5-9548-00d0592d548c,233636,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1696,Mycena_pura,Mycena pura,2d1ccbeb-8264-11d5-bebb-00508bca8de8,188082,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1698,Mycena_septentrionalis,Mycena septentrionalis,8548dff8-72dd-49c5-937d-dfcce523ef51,107417,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1700,OTUkt4010,OTUkt4010 sp.,NA,NA,Cohens_d_Cellulose,0
