ASVs,Genus,guild
78166d7152062072993ea0e5a956d768,Venturia,plant_pathogen
ea780e6b8c3c750ddc5cd8cba32a4cfa,Cenococcum,ectomycorrhizal
82859643a0058af608970e59abbd634c,Cenococcum,ectomycorrhizal
fec61cbe37b0041f8c03c05c15451f08,Cortinarius,ectomycorrhizal
f098a1d0be9c1089f7c5907b5649655f,Amphinema,ectomycorrhizal
21cfcabfd0e4299715fe8299b28019a5,Coniochaeta,unspecified_saprotroph
cb459d4bb2101bfff6bd02a0bbb3c3a7,Clavaria,soil_saprotroph
d4e51cc888c88c62d1648384f2563f2e,NA,NA
a12d63630cf0dbd72c4c483e56d4a2b5,Trichoderma,mycoparasite
df269d5dd68258dcc09b2db96537cb9c,Sagenomella,unspecified_saprotroph
0dfe6eb5428606a30b55e5a99e46493d,Amphinema,ectomycorrhizal
c38080c01d5869526154299c29c35111,Tricholoma,ectomycorrhizal
db4a48a999a41fbb32550e8d9df3a693,Russula,ectomycorrhizal
1aa42fdcf935ee7cc24d7d2b08271db7,Metarhizium,animal_parasite
e6e2dfef43bbb17c63aff66d1dfc6dd6,Phallus,soil_saprotroph
4433c409716d70b47a12c07469f65da1,Amanita,ectomycorrhizal
09af6f3c32f24007f8d6bd5d447fedba,Cuphophyllus,soil_saprotroph
c2fe54b21a16a047c979b948e2a8c443,Russula,ectomycorrhizal
6efa0bc4109a9ca8a59af27ba4ecbce8,unidentified,NA
e6918bd807b372e7fe02ab7d6bec33e3,unidentified,NA
4200eea84327441e386a725ced7f38fe,NA,NA
05e3d3518fe3cbdfc69d261f1c808d56,NA,NA
d5cb6ea3dc75f61552e4b758b5d486d5,Clavulinopsis,soil_saprotroph
2f596f67f59a3590e3537982cddf66d1,Russula,ectomycorrhizal
c50f1c35ec917eeaf276eaf76c6f6a80,NA,NA
de066b96e699325d0bb5a3e9886fc053,Umbelopsis,soil_saprotroph
3bbcff63bbe4c9b9abedc47e0be2e7b7,Periconia,plant_pathogen
2a96cf671fbc47b4afe940b03f68d897,Coniochaeta,unspecified_saprotroph
3f52dcc50973b92fcbb4d01d2251d50e,Devriesia,plant_pathogen
64d6864e98b304d7c80357ea38bee245,NA,NA
b57ebc7e42c8a6ed4f312c65a0910ad7,NA,NA
c65c8f46fa71ed2dfe17945e12730261,Leohumicola,soil_saprotroph
29e1d06abc111edcd1c9128687c9701c,NA,NA
feaaafea63e70bba8e5cd52ede6de058,Hodophilus,soil_saprotroph
8ebbf088d76d2b68b1ec3b20f6e77bcd,Devriesia,plant_pathogen
32bffff55ff26396f3f4dff5dc412bcf,Cenococcum,ectomycorrhizal
6a8778923af75df0b43651cd552a6931,Penicillium,unspecified_saprotroph
df8ba956df55fff509cacb9c94a98243,Russula,ectomycorrhizal
9e11ec700d935e808686edd012ff9064,NA,NA
1c7db8fb41edd4d09ae8de1190ca86ba,Epicoccum,plant_pathogen
8063ab5bf2ec3b29e0eb9c3f3a96b17f,NA,NA
ff827fbfb2bf1ae660b19d24c14f92c8,Devriesia,plant_pathogen
79c0c2e3f19153ff685ef4658b8babe9,Pseudothielavia,NA
de278af6c16955cf92e71fa39dbdda34,NA,NA
a0480780d2bda4bc7ed7e8a02003a30b,Hodophilus,soil_saprotroph
57744b357ae7e9dfdcf7c8ca9a421e0c,NA,NA
c5d33bbbeecc8ee7d29e0999056a954c,Amanita,ectomycorrhizal
9fcefe003dda00b44f315bea86ed70fa,unidentified,NA
9920f2efb1d3b7bba5cff1f60f1e9e10,NA,NA
c5f4c784539fcfe1dc7d22ccc2157141,Sistotrema,litter_saprotroph
f24437c7f64f5d03666e3c360208b472,Trechispora,wood_saprotroph
8a3b86878261e00b1b728516d8572665,NA,NA
6eb47a00b5f264f2b181319097005bfb,NA,NA
3d2386019656e092dfc18fd0fc686de7,Sistotrema,litter_saprotroph
c9100af7fd662c3d41e9741485952cab,unidentified,NA
fbd34124710abd365652bc5c1fa9f6e5,Neptunomyces,NA
38933c0a3a18f00018f9bdc0d121dc59,Trichoglossum,soil_saprotroph
cdb3b39cbe5c70cb75afca87bc45be9d,unidentified,NA
eaaa8f00ebcebbaf1fe425c94ea5f51d,Spegazzinia,wood_saprotroph
0c908611178d4815bc7cb1bd6a17312d,Sagenomella,unspecified_saprotroph
34cf2a47221ca8b37542a92a660df7d1,Cenococcum,ectomycorrhizal
583769beb3824e674b264429f28e5a30,Penicillium,unspecified_saprotroph
a9a1cd5825404289b3272ae2606a3752,Pseudopithomyces,plant_pathogen
6a5d806b18ff4ca3cb64ba07e247a82d,NA,NA
e434d51b1d4fc35e29ee153f852159c3,Russula,ectomycorrhizal
c919d21f6c3ff1f06c66ba829b1c5c9e,Lactarius,ectomycorrhizal
1c38e9316549effc450664d02796d15f,Rasamsonia,soil_saprotroph
965292193cdd15425b9f3f4603dc3abf,Lactifluus,ectomycorrhizal
1e95148318fbde9cfc0f414cb721db92,NA,NA
4428396d26682a7c4dbeecf9ae45d8fc,NA,NA
4080b42c5ec3450e6e63676d97ad0fd1,Trechispora,wood_saprotroph
080cc3f2b5bf13e602c429406c598891,Sistotrema,litter_saprotroph
7baea4573e223ccbd1078502b0f64ad3,NA,NA
f252af31689a13860e2c83c42c376f82,Trechispora,wood_saprotroph
e8e84c42f44b33bbe3c9c8447ea9af8b,Leohumicola,soil_saprotroph
c8b7aa296fe85b7e1c3c4c43c440aba9,NA,NA
b55873bd3dcce47829811e5c8ba08468,unidentified,NA
da5d743494202c7cfb2de33671ce080d,NA,NA
a4107d6f366a0995ceb704624588af05,NA,NA
90f6718453f2f0e40b761bac2b971327,unidentified,NA
bcc43c4f930b6762cf77addab467d6f3,Sclerogaster,litter_saprotroph
20cf1a061ddf51215b666c163f413cd1,NA,NA
bd3e4def01ac2a01c22270a2a7e60153,Tremella,mycoparasite
5d734f7016a44a6ff793d198e4777902,NA,NA
c368361a851407c1d9f07dc6a277334d,Cortinarius,ectomycorrhizal
c04b304a202ca300812e0561adb1b433,Scytalidium,wood_saprotroph
fb19fea440b2337be930cd82f368add3,Bifiguratus,soil_saprotroph
799abbd025495e4b7e6960a3b823700c,Amanita,ectomycorrhizal
e8a9a4615b959fd23a7aa04806f76749,Geoglossum,soil_saprotroph
dae9231de2bcd5ee3df12c604542e0ea,NA,NA
9305b01599e9022453b232ae48319f7f,Mutinus,soil_saprotroph
d7139d5d7cda4f3287bf965ade12d9f6,NA,NA
0c68660dd6a71279212423f55e45a61c,NA,NA
03e84cbe65d74c6b4f5e5405f79b47cc,Amphinema,ectomycorrhizal
3efd64a1f5fface5d916124e6aea941e,Amphinema,ectomycorrhizal
42828269eb28cb4e7436a1e9de2b5bca,NA,NA
c96e2fa334c93fb3d83c3924a1fa4398,Inocybe,ectomycorrhizal
2393c266e3477af5c4fc62dc5192674a,Russula,ectomycorrhizal
d450d1bba2d3b216cad0353a8bf2520e,NA,NA
1b8d560bee7d774cfddeb123e7ff2c29,NA,NA
07990fc8e189b9e50347734e8255ea97,Periconia,plant_pathogen
93b7cdc2e2136150467a099008844761,NA,NA
6936b4bf98cfec97d0ab8da12e44c535,Cenococcum,ectomycorrhizal
1d71619ce3718ff213e974b4d222fbfa,NA,NA
bde01be83683a3662d576e710e88c2dd,Clavaria,soil_saprotroph
ed4cecf59831ea82e8f055bbe253c9ad,Bifiguratus,soil_saprotroph
580d4754a629aa9efa613812bbe551f9,Cuphophyllus,soil_saprotroph
2be7976f7dcaca6051ff7a70e470b70d,NA,NA
