"","X","ANVR","ARBE","DELI","DEOB","DIG2","DIG3","DYOB","EUPU","GAER","MIMI","PIGR","RHHA","SIXE","SOOD","SPJU","STBI","SYAD","TEFL","VAMY","VEAN","ARG1","CRRO","DIG1","GADU","HYWR","LIEG","SCIT","SYDU","TRUR","DECI","DEST","HYSU","LERE","MUG1","ASGR","RHRE","RUCU","SYCO","TESP","CHMA","SCTE","TRSM","CHNC","ORLU","SOSE","DAAL","RISC","SCCI","ACGR","SONU","CLMA","ERHR","CEVI","DE01","DEFL","RHCO","SPCL","STHU","TEVI","GAPI","GL01","GYAM","HOPR","PHHE","PRSE","RHDI","RUCA","DIVR","HIGR","PICA","QUIN","SMBO","ENSE","PTPS","VISE","IPPA","HAQU","HYHY","ANVI","DIAI","IOLI","SAAL","STSY","CRAR","DISP","ELEL","TOPU","TRDI","EUAL","PAVI","CRGL","CRCR","PASE","LEAN","LEMI","PONA","RHTO","SOTO","DIST","SOVR","X102","MURO","QUG1","RHCU","SMSM","EUCL","PAQU","CNST","ASTU","OEFR","PNG1","XX01","QUVI","STUM","LG01","OX01","PHUR","PIPA","EUHE","LEVR","DIEN","DR01","HEAN","HYCR","EDUN","RHAL","RHMA","EUHY","MOCE","RUHN","ASVE","GANA","HERA","AGAR","BREU","CRPU","SALY","COEA","CYFI","SMAU","QUNI","ASSP","GAAE","CIHO"
"11","FOJ.18",2,4,0,0,1,2,2,1,1,1,3,0,1,0,0,0,0,0,1,0,1,0,1,3,1,0,1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,1,1,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","FOJ.19",4,2,0,0,0,2,2,1,0,0,3,0,1,0,0,1,0,0,3,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,3,2,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,2,3,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","FOJ.20",3,4,0,0,0,2,2,1,1,0,2,0,1,1,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","DL.1",4,3,1,2,1,0,2,1,0,1,3,0,1,2,0,1,1,0,0,0,0,1,1,0,1,2,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","DL.2",2,3,2,0,0,0,2,1,1,3,3,0,1,2,0,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","FOJ.15",2,3,0,0,0,2,2,1,0,1,0,0,1,0,0,0,2,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","FOJ.16",3,4,0,0,0,1,2,1,2,1,3,0,0,1,0,1,0,0,2,1,0,0,2,2,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,3,0,3,0,0,0,0,1,1,1,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","FOJ.17",3,4,0,2,1,1,2,1,1,1,2,0,0,1,0,0,0,0,3,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,2,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","FOJ.11",3,6,2,0,0,1,1,1,0,0,3,0,0,1,0,1,0,0,2,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","FOJ.12",3,2,1,0,0,1,2,1,1,0,2,0,0,0,0,1,0,0,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,2,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","FOJ.13",3,5,0,0,0,1,2,0,1,2,3,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,2,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
