"","ASVs","Genus.x","guild.x","DL01","DL02","DL03","DL04","DL05","DL06","DL07","DL08","DL09","DL10","DL11","DL12","DL13","DL14","DL15","DL16","DL17","DL18","DL19","DL20","FOJ01","FOJ02","FOJ03","FOJ04","FOJ05","FOJ06","FOJ07","FOJ08","FOJ09","FOJ10","FOJ11","FOJ12","FOJ13","FOJ14","FOJ15","FOJ16","FOJ17","FOJ18","FOJ19","FOJ20","TOA01","TOA02","TOA03","TOA04","TOA05","TOA06","TOA07","TOA08","TOA09","TOA10","TOA11","TOA12","TOA13","TOA14","TOA15","TOA16","TOA17","TOA18","TOA19","TOA20","Genus","guild.y"
"383","c6246356f526609ceda6c82a1e0e53bf","Cenococcum","ectomycorrhizal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,410,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,61,0,0,0,85,0,71,0,0,323,0,"Cenococcum","ectomycorrhizal"
"384","6d39dc790696552b9ce8f868bb11f0ac","Laccaria","ectomycorrhizal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,707,0,0,0,0,0,7,0,264,104,6,0,0,"Laccaria","ectomycorrhizal"
"385","6603b1e9405876442e5be61bbe5b0130","Amphinema","ectomycorrhizal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Amphinema","ectomycorrhizal"
"386","808958a83d2c59bae6822c9774f7881a",NA,NA,0,0,27,0,0,0,0,51,0,0,9,30,24,0,0,0,16,198,122,73,0,33,0,0,54,105,0,0,20,0,0,0,25,0,50,0,37,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,156,21,55,0,38,0,71,10,NA,NA
"387","2f5b0c0daff730c78d11533741430b2f",NA,NA,7,7,489,13,13,0,0,8,6,9,0,0,7,21,80,0,19,45,0,11,57,3,6,0,0,27,20,12,15,0,0,0,0,0,0,0,0,0,0,22,42,9,174,20,0,73,0,7,0,18,0,21,3,6,36,15,0,0,0,0,NA,NA
"388","3f612ce33b570f918d97876a3059dd19","Trichoderma","mycoparasite",0,0,0,0,0,0,0,0,371,0,131,0,0,296,0,22,98,0,0,120,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,37,11,0,0,0,0,0,0,39,0,0,49,18,0,16,0,15,"Trichoderma","mycoparasite"
"389","d78efacc0e0eae9174ba4f248d15f6c2","Inocybe","ectomycorrhizal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,1184,"Inocybe","ectomycorrhizal"
"390","bbbca0181fcd62039c9f052a7716d41c","Russula","ectomycorrhizal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Russula","ectomycorrhizal"
"391","c64d429b8d317c02a902b7c5125e2d32","Lachnellula","wood_saprotroph",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"Lachnellula","wood_saprotroph"
"392","f74b9e95e7f7ea193257db79bedd5d91","unidentified",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"unidentified",NA
